"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"United Kingdom","Electricity - Consumption by households","2022","Kilowatt-hours, million","102120.8",""
"United Kingdom","Electricity - Consumption by households","2021","Kilowatt-hours, million","109450.345",""
"United Kingdom","Electricity - Consumption by households","2020","Kilowatt-hours, million","107968.681",""
"United Kingdom","Electricity - Consumption by households","2019","Kilowatt-hours, million","103719.582",""
"United Kingdom","Electricity - Consumption by households","2018","Kilowatt-hours, million","105064.547",""
"United Kingdom","Electricity - Consumption by households","2017","Kilowatt-hours, million","105367.901",""
"United Kingdom","Electricity - Consumption by households","2016","Kilowatt-hours, million","108025",""
"United Kingdom","Electricity - Consumption by households","2015","Kilowatt-hours, million","107764",""
"United Kingdom","Electricity - Consumption by households","2014","Kilowatt-hours, million","108076",""
"United Kingdom","Electricity - Consumption by households","2013","Kilowatt-hours, million","113412",""
"United Kingdom","Electricity - Consumption by households","2012","Kilowatt-hours, million","114663",""
"United Kingdom","Electricity - Consumption by households","2011","Kilowatt-hours, million","111586",""
"United Kingdom","Electricity - Consumption by households","2010","Kilowatt-hours, million","118832",""
"United Kingdom","Electricity - Consumption by households","2009","Kilowatt-hours, million","118541",""
"United Kingdom","Electricity - Consumption by households","2008","Kilowatt-hours, million","119800",""
"United Kingdom","Electricity - Consumption by households","2007","Kilowatt-hours, million","123076",""
"United Kingdom","Electricity - Consumption by households","2006","Kilowatt-hours, million","124704",""
"United Kingdom","Electricity - Consumption by households","2005","Kilowatt-hours, million","125711",""
"United Kingdom","Electricity - Consumption by households","2004","Kilowatt-hours, million","124200",""
"United Kingdom","Electricity - Consumption by households","2003","Kilowatt-hours, million","123001",""
"United Kingdom","Electricity - Consumption by households","2002","Kilowatt-hours, million","114534",""
"United Kingdom","Electricity - Consumption by households","2001","Kilowatt-hours, million","115337",""
"United Kingdom","Electricity - Consumption by households","2000","Kilowatt-hours, million","111842",""
"United Kingdom","Electricity - Consumption by households","1999","Kilowatt-hours, million","110308",""
"United Kingdom","Electricity - Consumption by households","1998","Kilowatt-hours, million","109410",""
"United Kingdom","Electricity - Consumption by households","1997","Kilowatt-hours, million","104455",""
"United Kingdom","Electricity - Consumption by households","1996","Kilowatt-hours, million","107513",""
"United Kingdom","Electricity - Consumption by households","1995","Kilowatt-hours, million","102210",""
"United Kingdom","Electricity - Consumption by households","1994","Kilowatt-hours, million","101407",""
"United Kingdom","Electricity - Consumption by households","1993","Kilowatt-hours, million","100456",""
"United Kingdom","Electricity - Consumption by households","1992","Kilowatt-hours, million","99482",""
"United Kingdom","Electricity - Consumption by households","1991","Kilowatt-hours, million","98098",""
"United Kingdom","Electricity - Consumption by households","1990","Kilowatt-hours, million","93793",""

"fnSeqID","Footnote"
"1","Estimate"
